TEAM_ID,TEAM_ABBREVIATION_01,TEAM_ABBREVIATION_02,TEAM_ABBREVIATION_03,TEAM_ABBREVIATION_04,TEAM_ABBREVIATION_05
1610610023,AND,,,,
1610610024,BAL,,,,
1610610025,CHS,,,,
1610610026,CLR,,,,
1610610027,DN,,,,
1610610028,DEF,,,,
1610610029,JET,,,,
1610610030,INO,,,,
1610610031,PIT,,,,
1610610032,PRO,,,,
1610610033,SHE,,,,
1610610034,BOM,,,,
1610610035,HUS,,,,
1610610036,WAS,,,,
1610610037,WAT,,,,
1610612737,ATL,STL,MIH,TCB,
1610612738,BOS,,,,
1610612739,CLE,,,,
1610612740,NOP,NOH,NOK,,
1610612741,CHI,,,,
1610612742,DAL,,,,
1610612743,DEN,,,,
1610612744,GSW,GOS,SFW,PHW,
1610612745,HOU,SDR,,,
1610612746,LAC,SDC,BUF,,
1610612747,LAL,MNL,,,
1610612748,MIA,,,,
1610612749,MIL,,,,
1610612750,MIN,,,,
1610612751,BKN,NJN,NYN,,
1610612752,NYK,,,,
1610612753,ORL,,,,
1610612754,IND,,,,
1610612755,PHI,PHL,SYR,,
1610612756,PHX,,,,
1610612757,POR,,,,
1610612758,SAC,KCK,CIN,ROC,
1610612759,SAS,SAN,,,
1610612760,OKC,SEA,,,
1610612761,TOR,,,,
1610612762,UTA,UTH,NOJ,,
1610612763,MEM,VAN,,,
1610612764,WAS,CAP,BLT,CHZ,CHP
1610612765,DET,FTW,,,
1610612766,CHA,CHH,,,
